tweet
"Pence: If we continue mitigation efforts, by early summer much of the coronavirus epidemic will be behind us  https://t.co/jBgsCmZvjQ"
"RT @jasonrantz: Tucker Carlson absolutely shreds hypocrite, faux-tough guy @ChrisCuomo.  After demanding you stay home -- and insulting tho…"
RT @TheRightMelissa: The fake media will not tell you this but The only person talking about Clorox is Cuomo’s wife who says she treated he…
@JoeBiden Truth will make your head spin. 😂 https://t.co/oWNZIsZWl1
RT @ryanstruyk: Reported US coronavirus deaths:  8 weeks ago: 0 deaths 7 weeks ago: 17 deaths 6 weeks ago: 49 deaths 5 weeks ago: 249 death…
RT @ryanstruyk: Reported US coronavirus deaths:  8 weeks ago: 0 deaths 7 weeks ago: 17 deaths 6 weeks ago: 49 deaths 5 weeks ago: 249 death…
"RT @SethAbramson: BREAKING NEWS: Evidence Emerges That Trump Lied About Immigration Ban; Per Leaked Audio of His Top Adviser, It Had Nothin…"
"RT @BarackObama: If we want life to approach anything like normal anytime soon, we need a comprehensive testing program. It’s not going to…"
"RT @DrDenaGrayson: 👋🏼Hey @GovMikeHuckabee,  The “Blue States” that you denigrate have much LARGER economies than most COUNTRIES, including…"
RT @mirandayaver: April 23: Trump suggests that injecting disinfectant can kill coronavirus.  April 24: 30 New Yorkers called poison contro…
"RT @CNN: The President was afraid to take questions today during the coronavirus briefing, says @andersoncooper. “He took questions earlier…"
RT @MaxBoot: There are many reasons why the US has become the world capital of the coronavirus. But if I had to choose just one critical fa…
RT @nytimes: Health professionals and even the makers of household disinfectants pleaded with Americans not to inject or ingest their produ…
Is the coronavirus retribution for the misguided  policies of @realDonaldTrump ?
RT @ZeeNewsEnglish: Pune reports 5 more death due to #COVID19; Maharashtra death toll at 283. Check for live updates  #CoronaUpdatesInIndia…
"RT @NPR: The official COVID-19 death toll in the U.S. has passed 50,000, with both its death and confirmed case totals far higher than any…"
"RT @thebradfordfile: Tucker Carlson just destroyed the pompous, hypocrite Chris Cuomo for breaking quarantine while sick with coronavirus.…"
RT @guardiannews: California to reopen some beaches as governor urges physical distancing https://t.co/t9eotCdBh1
"RT @SCMPNews: As India enjoys better air and water amid the coronavirus lockdown, tens of thousands of flamingos have gathered in Navi Mumb…"
"RT @spectatorindex: SPAIN: 107 year old woman Ana del Valle, who beat the Spanish flu in 1918, has now also beaten a coronavirus infection."
"RT @seanhannity: Report: FBI Knew McCain Leaked Steele Dossier, Now Blames Coronavirus For Not Releasing Documents https://t.co/7aDnfxWkKJ"
RT @may_talcott: Is Trump Doing A Good Job With CoronaVirus? Vote &amp; RT
"RT @Jeff__Benjamin: Yes, exactly. It's a big reason why I was so curious to talk to @too_offcl who debuted this month. A lot of their strat…"
Our Surgeon General told us that the coronavirus was going to be “our Pearl Harbor.”  What was he telling us?
RT @Cernovich: The Wuhan coronavirus has killed more Americans than every Islamic terrorist attacked combined.  It’s time to treat COVID-19…
"RT @Chellaney: Media coverage must not create a coronavirus panic. COVID-19 so far has killed 718 Indians and 50,372 Americans. But media c…"
“there are some people — specifically men — who are going to lengths to harass and gaslight women to try to convinc… https://t.co/MJlJ5GTSB4
"RT @thehill: In leaked audio, Stephen Miller tells supporters immigration pause during coronavirus is actually long term: report https://t.…"
"RT @juliettekayyem: The 60,000 dead IHME model was what the White House wanted to hear. Its simplicity was relatable. Its low number was po…"
McConnell says Senate 'not interested' in sending money to states trying to 'take advantage' of coronavirus https://t.co/5lnetsgJJm #FoxNews
"RT @BarackObama: If we want life to approach anything like normal anytime soon, we need a comprehensive testing program. It’s not going to…"
"RT @maya_sen: ""Global leaders have pledged to accelerate cooperation on a coronavirus vaccine and to share research, treatment and medicine…"
RT @TheOnion: Man Just Buying One Of Every Cleaning Product In Case Trump Announces It’s Coronavirus Cure https://t.co/3bKatQGz04 https://t…
"RT @NicoleSganga: Today, the Trump campaign launched its official ""Trump 2020"" app.   Its developer @phunware received a $2.85 million loan…"
"RT @ericuman: White House are blaming the **guy who briefed Trump**, arguing he ""allowed for Trump to get confused.""  WTF does that even me…"
No death in #SouthKorea for the second straight day and 10 new #Coronavirus cases today. Hope I can tweet soon sayi… https://t.co/4o62rJzHEE
"RT @SethAbramson: BREAKING NEWS: Evidence Emerges That Trump Lied About Immigration Ban; Per Leaked Audio of His Top Adviser, It Had Nothin…"
Medical facilities have always been a target of cyberattacks. The coronavirus is making them even more vulnerable https://t.co/TIWL99RrDJ
"Once lauded as a beacon in the fight against Covid-19, Singapore reached an unenviable milestone this week: the mos… https://t.co/AanUwTNFGO"
RT @mariaressa: Coronavirus response: Online outrage drowns out Duterte propaganda machine https://t.co/LSfLI6o8EC by @sofiatomacruz &amp; @don…
"RT @thebradfordfile: Tucker Carlson just destroyed the pompous, hypocrite Chris Cuomo for breaking quarantine while sick with coronavirus.…"
RT @Daniel_Lewis3: Here is Dr. Birx's reaction when President Trump asks his science advisor to study using UV light on the human body and…
"RT @AlessPickings: Philip Kahn, a 100-year-old World War II veteran, died on April 17 from the coronavirus. His twin brother, Samuel, died…"
RT @ryanstruyk: Reported US coronavirus deaths:  8 weeks ago: 0 deaths 7 weeks ago: 17 deaths 6 weeks ago: 49 deaths 5 weeks ago: 249 death…
The FDA warns that President Trump’s much-touted coronavirus drugs could cause deaths. The White House says media ‘… https://t.co/hvu0IwzNul
"RT @DigiDiva2020: U.S. says will not take part in WHO global drugs, vaccine initiative launch | Article [AMP] | Reuters https://t.co/Kg5yOv…"
"RT @Brash_1: Incompetence? Malfeasance? Whatever the cause may be, the effect is a shuttered economy, record unemployment, and egregious ci…"
"RT @spectatorindex: SPAIN: 107 year old woman Ana del Valle, who beat the Spanish flu in 1918, has now also beaten a coronavirus infection."
"RT @VicBergerIV: With the US coronavirus death toll hitting 50,000, pig person @adamcarolla pushes Trump’s discredited hydroxychloroquine s…"
"RT @SethAbramson: BREAKING NEWS: Evidence Emerges That Trump Lied About Immigration Ban; Per Leaked Audio of His Top Adviser, It Had Nothin…"
"RT @DrIanWeissman: Young and middle-aged people, barely sick with covid-19, are dying from strokes. Doctors sound alarm about patients in t…"
"RT @BarackObama: If we want life to approach anything like normal anytime soon, we need a comprehensive testing program. It’s not going to…"
RT @nytimes: Health professionals and even the makers of household disinfectants pleaded with Americans not to inject or ingest their produ…
RT @the_hindu: Serum Institute of India has said that it expects the #vaccine for #coronavirus developed by the University of Oxford in the…
"RT @Condor_Law: “His whole family was there, another individual, three children, none had any mask on! I said: ‘You have #coronavirus aren’…"
"RT @barkhad: “lockdown was necessary, but surely it could have been better planned? In S Africa,whose economy depends, like India’s, on mig…"
RT @OBJUpdate: An #Orlando #tech company's disinfectant system has drawn attention amid #coronavirus. Has your company sought #venturecapit…
