tweet
"@dcexaminer @realDonaldTrump The narcissism is real! During a coronavirus briefing, @realDonaldTrump, LITERALLY, pl… https://t.co/u0y4I4kk1B"
RT @chuckwoolery: Is it just me or are you as getting sick from reporting of the coronavirus as I am?
RT @AngelWarrior321: This is a political hit job taking place right before our eyes The media’s attacks on President @realDonaldTrump for t…
RT @MarkDice: CNN just cut the feed to the White House Coronavirus Task Force Press Briefing.
"RT @TrefaultPaulina: @HarleyRouda @realDonaldTrump March 3: ""Defense Secretary Mark Esper asked overseas military commanders to not to make…"
WWE wrestlers expecting to have to have at least 5 weeks off because of the coronavirus only to find out they’re go… https://t.co/IFWGy55lJa
RT @PaulaReidCBS: Inside coronavirus briefing President Trump is having reporters watch campaign style montage praising his handling of cor…
"RT @greg_price11: CNN and MSNBC were so outraged at clips of themselves downplaying coronavirus, Maggie Haberman defending his China travel…"
RT @ChanelRion: #HAPPENINGNOW: White House Daily Coronavirus Task Force 4/13/20  - US continues to make progress; infection rates across na…
RT @Qamarxaji11: Oh Allah protect humanity from Coronavirus! https://t.co/npvc7cv8XB
RT @Apollon101: @piersmorgan The thing I'm struggling to understand is if social distancing is 'the best way to stop the transmission of #c…
@wschurchill1 @Northernhorsem1 @Kurtwebertheo @jcswizz @_ReaalAmerican_ @realDonaldTrump What does her criticizing… https://t.co/EqemYiLG99
RT @WorkPsychol: I’m sorry did I just see Boris Johnson giving an interview for @bbcnews??  I’m in my fourth week of recovering from 2 week…
"RT @zeefa64: Former Baltimore Mayor Catherine Pugh Headed To Alabama Women’s Prison, Asking For Delay Again Due To Coronavirus Pandemic – C…"
"OMG this is how he wants to run the Chinese world, God will not allow it. https://t.co/GRtbISVXHN"
RT @bennyjohnson: Trump BLASTS Nancy Pelosi for going to Chinatown after he instituted the Travel Ban when they media claims he wasn’t taki…
RT @AP_Politics: Joe Biden has won the Wisconsin Democratic primary. Results in the contest were released nearly a week after the state hel…
RT @Yamiche: President Trump just showed a video in the WH briefing room defending this response to the coronavirus.  The video was essenti…
"I think more people should be paying attention to what the news stations aren't airing, and less to the nonsense al… https://t.co/tGvQjxPVRH"
Doctor who tests homeless for COVID-19 says cop cuffed him at his home for no reason https://t.co/bVYBoPABxq
"Here is my piece on the Post-corona era @wef .  Surprisingly, only 5.6% of Japanese respondents are teleworking acc… https://t.co/ZRb9d5xnMS"
Coronavirus IV: Last Week Tonight with John Oliver (HBO) https://t.co/F89YIeZ0po via @YouTube
Trump counters coronavirus critics with campaign-style clip reel - https://t.co/t9lkbC7qaN - @washtimes
RT @shelleybabb: 🆘GATES we need a NATIONAL TRACKING SYSTEM‼️America UR eyes open yet•Do u feel those in charge should chip U so they know e…
"RT @GIWLkings: ""Being a woman doesn’t make you better at handling a global pandemic – but women generally have to be better in order to bec…"
